x,y,H,S,V
0.5,0.5,18,82,111
0.5,1.5,16,86,112
0.5,2.5,15,110,108
0.5,3.5,15,103,106
0.5,4.5,18,89,100
0.5,5.5,17,95,91
0.5,6.5,16,110,99
0.5,7.5,17,106,105
0.5,8.5,18,96,103
0.5,9.5,15,65,109
0.5,10.5,16,60,106
0.5,11.5,14,76,100
0.5,12.5,15,76,104
0.5,13.5,16,75,95
0.5,14.5,16,81,103
0.5,15.5,17,80,101
0.5,16.5,15,77,109
0.5,17.5,14,60,110
0.5,18.5,16,72,116
0.5,19.5,14,53,115
0.5,20.5,9,35,101
0.5,21.5,3,26,104
0.5,22.5,16,48,106
0.5,23.5,15,61,100
0.5,24.5,17,74,99
0.5,25.5,14,57,93
0.5,26.5,15,53,105
0.5,27.5,17,65,102
0.5,28.5,18,68,101
0.5,29.5,21,53,104
0.5,30.5,22,46,94
0.5,31.5,21,48,95
0.5,32.5,23,47,96
0.5,33.5,21,44,104
0.5,34.5,22,48,100
0.5,35.5,22,48,99
0.5,36.5,21,40,102
0.5,37.5,22,45,106
0.5,38.5,25,47,107
0.5,39.5,24,54,99
0.5,40.5,25,44,103
0.5,41.5,27,52,98
0.5,42.5,27,59,94
0.5,43.5,27,53,104
0.5,44.5,26,49,108
0.5,45.5,28,40,114
0.5,46.5,34,10,119
0.5,47.5,33,18,121
0.5,48.5,31,29,105
0.5,49.5,28,52,102
0.5,50.5,28,48,111
0.5,51.5,27,37,117
0.5,52.5,29,35,116
0.5,53.5,32,46,115
0.5,54.5,30,22,124
0.5,55.5,31,16,127
0.5,56.5,31,31,123
0.5,57.5,29,26,125
0.5,58.5,28,39,115
0.5,59.5,29,43,112
0.5,60.5,30,51,110
0.5,61.5,29,33,121
0.5,62.5,27,29,122
0.5,63.5,28,30,124
0.5,64.5,30,22,125
0.5,65.5,31,30,125
0.5,66.5,32,33,131
0.5,67.5,36,27,132
0.5,68.5,34,21,133
0.5,69.5,37,17,129
0.5,70.5,51,11,115
0.5,71.5,36,15,114
0.5,72.5,30,30,117
0.5,73.5,33,29,122
0.5,74.5,28,25,122
0.5,75.5,31,17,115
0.5,76.5,42,4,112
0.5,77.5,127,2,97
0.5,78.5,148,9,103
0.5,79.5,151,19,118
0.5,80.5,152,12,100
0.5,81.5,155,7,96
0.5,82.5,141,15,96
0.5,83.5,143,21,95
0.5,84.5,145,18,98
0.5,85.5,150,26,104
0.5,86.5,148,30,99
0.5,87.5,146,24,95
0.5,88.5,138,23,87
0.5,89.5,85,7,100
1.5,0.5,18,94,108
1.5,1.5,16,96,108
1.5,2.5,15,114,107
1.5,3.5,14,102,105
1.5,4.5,17,89,105
1.5,5.5,18,94,105
1.5,6.5,17,116,109
1.5,7.5,16,108,108
1.5,8.5,17,100,107
1.5,9.5,17,78,104
1.5,10.5,16,90,104
1.5,11.5,14,85,107
1.5,12.5,14,78,104
1.5,13.5,14,77,99
1.5,14.5,16,80,105
1.5,15.5,16,89,108
1.5,16.5,15,91,112
1.5,17.5,16,80,108
1.5,18.5,17,77,105
1.5,19.5,17,61,107
1.5,20.5,15,46,104
1.5,21.5,14,35,107
1.5,22.5,14,44,104
1.5,23.5,12,49,103
1.5,24.5,16,63,101
1.5,25.5,15,57,98
1.5,26.5,15,55,111
1.5,27.5,17,62,106
1.5,28.5,21,60,102
1.5,29.5,21,51,109
1.5,30.5,21,52,107
1.5,31.5,20,55,106
1.5,32.5,21,52,107
1.5,33.5,22,62,110
1.5,34.5,22,55,105
1.5,35.5,23,57,98
1.5,36.5,20,49,97
1.5,37.5,23,39,103
1.5,38.5,26,32,101
1.5,39.5,22,54,98
1.5,40.5,27,49,103
1.5,41.5,27,59,94
1.5,42.5,27,56,90
1.5,43.5,27,58,100
1.5,44.5,28,57,110
1.5,45.5,30,54,116
1.5,46.5,27,37,117
1.5,47.5,30,39,116
1.5,48.5,29,37,115
1.5,49.5,27,50,102
1.5,50.5,28,45,100
1.5,51.5,27,47,108
1.5,52.5,28,39,116
1.5,53.5,27,31,113
1.5,54.5,30,40,114
1.5,55.5,30,39,117
1.5,56.5,29,20,126
1.5,57.5,30,22,125
1.5,58.5,29,38,107
1.5,59.5,28,32,118
1.5,60.5,27,30,119
1.5,61.5,29,35,123
1.5,62.5,26,34,120
1.5,63.5,28,32,118
1.5,64.5,24,24,123
1.5,65.5,29,35,114
1.5,66.5,33,37,121
1.5,67.5,34,30,125
1.5,68.5,34,21,121
1.5,69.5,34,22,122
1.5,70.5,42,13,114
1.5,71.5,37,18,121
1.5,72.5,35,25,131
1.5,73.5,30,21,131
1.5,74.5,31,16,127
1.5,75.5,85,2,118
1.5,76.5,152,10,118
1.5,77.5,151,15,114
1.5,78.5,159,9,112
1.5,79.5,152,12,106
1.5,80.5,151,17,104
1.5,81.5,152,13,98
1.5,82.5,144,13,92
1.5,83.5,148,11,89
1.5,84.5,127,8,89
1.5,85.5,141,16,93
1.5,86.5,144,13,92
1.5,87.5,127,3,79
1.5,88.5,141,25,89
1.5,89.5,135,17,75
2.5,0.5,16,114,100
2.5,1.5,17,108,106
2.5,2.5,16,113,110
2.5,3.5,15,102,102
2.5,4.5,15,83,110
2.5,5.5,18,74,124
2.5,6.5,19,117,119
2.5,7.5,17,116,116
2.5,8.5,17,105,111
2.5,9.5,15,81,100
2.5,10.5,13,92,102
2.5,11.5,12,91,112
2.5,12.5,12,83,107
2.5,13.5,15,83,101
2.5,14.5,16,85,98
2.5,15.5,15,91,100
2.5,16.5,16,88,113
2.5,17.5,16,90,115
2.5,18.5,16,94,100
2.5,19.5,15,83,101
2.5,20.5,15,71,111
2.5,21.5,13,51,109
2.5,22.5,10,47,108
2.5,23.5,7,41,105
2.5,24.5,12,59,99
2.5,25.5,16,72,105
2.5,26.5,15,52,117
2.5,27.5,17,60,110
2.5,28.5,22,67,95
2.5,29.5,22,68,105
2.5,30.5,21,70,102
2.5,31.5,21,60,110
2.5,32.5,22,52,112
2.5,33.5,21,56,109
2.5,34.5,20,55,106
2.5,35.5,24,55,105
2.5,36.5,22,50,106
2.5,37.5,26,51,103
2.5,38.5,24,40,107
2.5,39.5,23,38,106
2.5,40.5,25,50,101
2.5,41.5,24,69,88
2.5,42.5,24,62,94
2.5,43.5,26,59,103
2.5,44.5,28,60,105
2.5,45.5,28,62,110
2.5,46.5,27,54,108
2.5,47.5,25,33,115
2.5,48.5,25,21,121
2.5,49.5,29,40,108
2.5,50.5,28,28,108
2.5,51.5,28,35,108
2.5,52.5,24,29,121
2.5,53.5,31,25,121
2.5,54.5,31,45,112
2.5,55.5,32,46,116
2.5,56.5,29,25,129
2.5,57.5,32,26,124
2.5,58.5,31,31,122
2.5,59.5,26,41,118
2.5,60.5,26,42,115
2.5,61.5,27,53,119
2.5,62.5,28,37,123
2.5,63.5,28,38,118
2.5,64.5,27,36,120
2.5,65.5,32,27,120
2.5,66.5,34,21,129
2.5,67.5,37,15,131
2.5,68.5,37,15,128
2.5,69.5,38,19,130
2.5,70.5,37,18,122
2.5,71.5,34,22,126
2.5,72.5,34,19,132
2.5,73.5,127,1,132
2.5,74.5,151,13,129
2.5,75.5,151,20,114
2.5,76.5,157,16,109
2.5,77.5,148,17,114
2.5,78.5,152,11,109
2.5,79.5,148,14,104
2.5,80.5,148,15,102
2.5,81.5,148,21,97
2.5,82.5,150,28,99
2.5,83.5,152,26,96
2.5,84.5,127,5,87
2.5,85.5,148,16,93
2.5,86.5,148,12,81
2.5,87.5,127,3,77
